        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-02-27 08:28:59 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:00 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       83   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:01 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:02 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:03 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:04 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:05 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:06 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:07 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:08 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:09 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:10 ,              936.6   ,                800.0   ,               78.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:11 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:12 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        37   ,               0   , 1.1000   ,
